D1,D2
188.5,0.534938
189.0,0.53925
189.5,0.538875
190.0,0.538375
190.5,0.536
191.0,0.534375
191.5,0.53525
192.0,0.5385
192.5,0.538563
193.0,0.538125
193.5,0.539313
194.0,0.5436880000000001
194.5,0.546875
195.0,0.5533750000000001
195.5,0.556938
196.0,0.561063
196.5,0.563875
197.0,0.5664380000000001
197.5,0.5696880000000001
198.0,0.574813
198.5,0.579063
199.0,0.581438
199.5,0.580438
200.0,0.577063
200.5,0.5753750000000001
200.99999999999997,0.57725
201.5,0.57875
202.0,0.577188
202.5,0.573938
202.99999999999997,0.5703750000000001
203.5,0.567938
204.0,0.565375
204.5,0.566688
204.99999999999997,0.5641250000000001
205.50000000000003,0.561625
206.0,0.5579379999999999
206.5,0.555563
206.99999999999997,0.552313
207.50000000000003,0.553
208.0,0.555188
208.5,0.551625
209.0,0.5490630000000001
209.50000000000003,0.546563
210.0,0.543
210.5,0.54625
211.0,0.54625
211.50000000000003,0.5443749999999999
212.0,0.5431250000000001
212.5,0.5405000000000001
213.0,0.537313
213.49999999999997,0.5375
214.0,0.539563
214.5,0.5396880000000001
215.0,0.5395
215.49999999999997,0.5368750000000001
216.0,0.536188
216.5,0.533938
217.0,0.5363749999999999
217.49999999999997,0.537125
218.00000000000003,0.536813
218.5,0.535625
219.0,0.533375
219.49999999999997,0.5321250000000001
220.00000000000003,0.5334380000000001
220.5,0.535563
221.0,0.535375
221.5,0.534375
222.00000000000003,0.532688
222.5,0.530188
223.0,0.530938
223.5,0.533625
224.00000000000003,0.533938
224.5,0.533188
225.0,0.531688
225.5,0.531063
225.99999999999997,0.530125
226.5,0.531
227.0,0.533
227.5,0.532688
227.99999999999997,0.532188
228.5,0.530188
229.0,0.528438
229.5,0.5294380000000001
229.99999999999997,0.5325000000000001
230.50000000000003,0.531688
231.0,0.5311250000000001
231.5,0.529938
231.99999999999997,0.529313
232.50000000000003,0.528563
233.0,0.531438
233.5,0.531625
234.0,0.531
234.50000000000003,0.5295
235.0,0.528375
235.5,0.5265
236.0,0.529688
236.50000000000003,0.530875
237.0,0.5308130000000001
237.5,0.5295
238.0,0.527313
238.49999999999997,0.526
239.0,0.527688
239.5,0.5305
240.0,0.5305
240.49999999999997,0.5295
241.0,0.5271880000000001
241.5,0.525313
242.0,0.526625
242.49999999999997,0.529625
243.00000000000003,0.529625
243.5,0.528688
244.0,0.527063
244.49999999999997,0.526375
245.00000000000003,0.5248750000000001
245.5,0.528375
246.0,0.529125
246.5,0.5290630000000001
247.00000000000003,0.5268130000000001
247.5,0.5254380000000001
248.0,0.523938
248.5,0.5261250000000001
249.00000000000003,0.527875
249.5,0.527688
250.0,0.5271880000000001
250.5,0.525938
250.99999999999997,0.523375
251.5,0.524375
252.0,0.527563
252.5,0.5275000000000001
252.99999999999997,0.5271250000000001
253.5,0.5258130000000001
254.0,0.5241250000000001
254.5,0.523375
254.99999999999997,0.5258130000000001
255.50000000000003,0.526875
256.0,0.523938
256.5,0.525938
257.0,0.5235000000000001
257.5,0.521563
258.0,0.523375
258.5,0.525188
259.0,0.525375
259.5,0.5248750000000001
260.0,0.522688
260.5,0.520938
261.0,0.5215
261.5,0.524188
262.0,0.524813
262.5,0.524375
263.0,0.523
263.5,0.5225
264.0,0.519375
264.5,0.523563
265.0,0.524188
265.5,0.524313
266.0,0.523
266.5,0.521938
267.0,0.519688
267.5,0.520188
268.0,0.524
268.5,0.5235000000000001
269.0,0.523938
269.5,0.5231250000000001
270.0,0.518938
270.5,0.518625
271.0,0.523438
271.5,0.52275
272.0,0.523063
272.5,0.522313
273.0,0.5207499999999999
273.5,0.51825
274.0,0.520625
274.5,0.52325
275.0,0.523063
275.5,0.522375
276.0,0.520688
276.5,0.5168750000000001
277.0,0.5175
277.5,0.5221250000000001
278.0,0.5225
278.5,0.521313
279.0,0.519688
279.5,0.5181250000000001
280.0,0.518625
280.5,0.5218130000000001
281.0,0.521688
281.5,0.520938
282.0,0.5201250000000001
282.5,0.5174380000000001
283.0,0.517188
283.5,0.5207499999999999
284.0,0.521625
284.5,0.521125
285.0,0.519625
285.5,0.518188
286.0,0.5161250000000001
286.5,0.515688
287.0,0.5212500000000001
287.5,0.520625
288.0,0.521125
288.5,0.518375
289.0,0.51575
289.5,0.514625
290.0,0.520375
290.5,0.5201250000000001
291.0,0.519625
291.5,0.51875
292.0,0.51775
292.5,0.51575
293.0,0.519813
293.5,0.5205000000000001
294.0,0.5201250000000001
294.5,0.519
295.0,0.5185
295.5,0.5144380000000001
296.0,0.517
296.5,0.519438
297.0,0.519313
297.5,0.519313
298.0,0.5168750000000001
298.5,0.514938
299.0,0.514188
299.5,0.519375
300.0,0.518875
300.5,0.519688
301.0,0.517938
301.5,0.5148130000000001
302.0,0.515
302.5,0.518563
303.0,0.519313
303.5,0.518875
304.0,0.5174380000000001
304.5,0.5174380000000001
305.0,0.514
305.5,0.515688
306.0,0.518688
306.5,0.518875
307.0,0.511938
307.5,0.513875
308.0,0.5150629999999999
308.5,0.517313
309.0,0.519813
309.5,0.519688
310.0,0.519313
310.5,0.524375
311.0,0.526938
311.5,0.533
312.0,0.541938
312.5,0.545875
313.0,0.550875
313.5,0.555688
314.0,0.561125
314.5,0.566625
315.0,0.5733130000000001
315.5,0.578188
316.0,0.580563
316.5,0.58075
317.0,0.581375
317.5,0.582438
318.0,0.5845
318.5,0.58525
319.0,0.581875
319.5,0.579063
320.0,0.574875
320.5,0.571813
321.0,0.5709380000000001
321.5,0.5705
322.0,0.567313
322.5,0.56325
323.0,0.56175
323.5,0.555625
324.0,0.553188
324.5,0.552375
325.0,0.549563
325.5,0.546188
326.0,0.542
326.5,0.5388130000000001
327.0,0.535813
327.5,0.535063
328.0,0.536
328.5,0.533938
329.0,0.53225
329.5,0.529688
330.0,0.526625
330.5,0.5345
331.0,0.5294380000000001
331.5,0.527938
332.0,0.526938
332.5,0.525188
333.0,0.523625
333.5,0.522063
334.0,0.524625
334.5,0.524688
335.0,0.523813
335.5,0.5224380000000001
336.0,0.520938
336.5,0.51875
337.0,0.5205000000000001
337.5,0.52225
338.0,0.5221250000000001
338.5,0.521188
339.0,0.5191880000000001
339.5,0.5172500000000001
340.0,0.517688
340.5,0.520688
341.0,0.520188
341.5,0.5214380000000001
342.0,0.518875
342.5,0.517188
343.0,0.5168750000000001
343.5,0.519625
344.0,0.519938
344.5,0.51925
345.0,0.51775
345.5,0.516938
346.0,0.5150629999999999
346.5,0.5168750000000001
347.0,0.518875
347.5,0.518563
348.0,0.517313
348.5,0.515938
349.0,0.514063
349.5,0.51575
350.0,0.5181250000000001
350.5,0.517688
351.0,0.51675
351.5,0.51625
352.0,0.515375
352.5,0.515
353.0,0.517625
353.5,0.517375
354.0,0.517
354.5,0.5161250000000001
355.0,0.515313
355.5,0.5134380000000001
356.0,0.5151880000000001
356.5,0.5172500000000001
357.0,0.516938
357.5,0.5168750000000001
358.0,0.514563
358.5,0.51225
359.0,0.5144380000000001
359.5,0.517313
360.0,0.517
360.5,0.516688
361.0,0.514875
361.5,0.512688
362.0,0.514063
362.5,0.5165000000000001
363.0,0.517063
363.5,0.516688
364.0,0.5150629999999999
364.5,0.5135
365.0,0.512313
365.5,0.5161250000000001
366.0,0.516563
366.5,0.516375
367.0,0.514688
367.5,0.513938
368.0,0.512688
368.5,0.514063
369.0,0.517188
369.5,0.516313
370.0,0.515313
370.5,0.5195000000000001
371.0,0.5101880000000001
371.5,0.510313
372.0,0.5151880000000001
372.5,0.515688
373.0,0.515125
373.5,0.514375
374.0,0.5131249999999999
374.5,0.51025
375.0,0.512688
375.5,0.5148130000000001
376.0,0.515438
376.5,0.5144380000000001
377.0,0.5138130000000001
